event_id,timestamp,date,time,use_case,source,entity_id,room,action,failure_reason,latency_ms,network_type,docklet_id,dock_id
dd5c0df6-7779-4959-b2e4-e133a0424521,2025-06-15 08:36:23.849,2025-06-15,08:36:23,UC3,app,light.snap_study_main,Study Room,bind,DEVICE_OFFLINE,N/A,local,switch.docklet_6,dock_kitchen
14a3ec7c-749f-4dd5-a2d4-c878f741546c,2025-06-15 08:53:32.772,2025-06-15,08:53:32,UC2,docklet,light.snap_kitchen_main,Kitchen,turn_on,TIMEOUT,6513,local,switch.docklet_5,dock_kitchen
eefaf226-fa60-43d8-aef2-2ceb7da688a7,2025-06-16 11:03:05.316,2025-06-16,11:03:05,UC2,docklet,light.snap_kitchen_main,Kitchen,turn_off,NO_RESPONSE,N/A,local,switch.docklet_5,dock_kitchen
501cf7e0-6703-4b80-a2a8-8b9ac3ea52ca,2025-06-17 19:53:47.322,2025-06-17,19:53:47,UC2,docklet,light.snap_kitchen_counter,Kitchen,turn_off,THREAD_MESH_FAIL,N/A,local,switch.docklet_6,dock_kitchen
9d6101cc-e626-4386-b2a3-cd32289b7954,2025-06-18 22:41:19.234,2025-06-18,22:41:19,UC3,app,light.snap_kitchen_main,Kitchen,bind,DEVICE_OFFLINE,N/A,local,switch.docklet_6,dock_kitchen
d3ff070a-a646-4d46-ae13-e05afa3b29f8,2025-06-18 19:11:00.146,2025-06-18,19:11:00,UC1,app,light.snap_kitchen_main,Kitchen,turn_on,THREAD_MESH_FAIL,N/A,local,,
ab9ddc78-61d8-4abe-a111-4a45b7447665,2025-06-18 12:33:26.915,2025-06-18,12:33:26,UC1,app,light.snap_study_main,Study Room,turn_off,DEVICE_OFFLINE,N/A,local,,
e3ecf6de-130f-465d-aae6-4e2d1449d3c0,2025-06-19 13:28:31.605,2025-06-19,13:28:31,UC5,app_remote,light.snap_study_main,Study Room,turn_on,THREAD_MESH_FAIL,N/A,remote,,
237083b0-0199-4033-8c58-304af6dc54fc,2025-06-20 10:50:50.085,2025-06-20,10:50:50,UC5,app_remote,fan.snap_dining_fan,Dining Room,toggle,THREAD_MESH_FAIL,N/A,remote,,
863e9840-e86f-4b85-a85f-3ba5bafb9e8e,2025-06-20 04:08:12.940,2025-06-20,04:08:12,UC1,app,light.snap_kitchen_main,Kitchen,turn_on,NO_RESPONSE,N/A,local,,
00277c63-df5a-4b20-807d-dcf3857bb97f,2025-06-22 18:45:15.165,2025-06-22,18:45:15,UC5,app_remote,light.snap_kitchen_main,Kitchen,turn_on,THREAD_MESH_FAIL,N/A,remote,,
