log_source,event_id,timestamp,date,time,hour,day_of_week,use_case,entity_id,action,room,floor,device_type,network_type,tap_timestamp,command_sent_timestamp,rest_response_timestamp,ws_confirmation_timestamp,end_to_end_latency_ms,success,failure_reason,trigger_method,app_screen,riverpod_provider,docklet_id,dock_id
flutter_app,105118d6-3beb-433e-9484-37fb486667d5,2025-06-15 19:21:59.848,2025-06-15,19:21:59,19,Sunday,UC1,fan.snap_dining_fan,toggle,Dining Room,Ground Floor,snap,local,2025-06-15 19:21:59.848,2025-06-15 19:21:59.905,2025-06-15 19:21:59.979,2025-06-15 19:22:00.212,364,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,dd10411e-3e50-46c1-ab7a-7c86f5d408a4,2025-06-15 12:39:17.370,2025-06-15,12:39:17,12,Sunday,UC1,fan.snap_dining_fan,toggle,Dining Room,Ground Floor,snap,local,2025-06-15 12:39:17.370,2025-06-15 12:39:17.416,2025-06-15 12:39:17.521,2025-06-15 12:39:17.726,356,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,ab1b1345-4876-4920-a267-9ee004137d51,2025-06-15 16:04:28.184,2025-06-15,16:04:28,16,Sunday,UC1,fan.snap_dining_fan,turn_off,Dining Room,Ground Floor,snap,local,2025-06-15 16:04:28.184,2025-06-15 16:04:28.223,2025-06-15 16:04:28.295,2025-06-15 16:04:28.787,603,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,ada42a79-8e0d-4b6f-a46d-37b598c45ce2,2025-06-15 18:11:43.518,2025-06-15,18:11:43,18,Sunday,UC1,light.snap_study_main,toggle,Study Room,First Floor,snap,local,2025-06-15 18:11:43.518,2025-06-15 18:11:43.593,2025-06-15 18:11:43.719,2025-06-15 18:11:44.151,633,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,6c79e8a1-9693-4150-bb38-b5131ebe305c,2025-06-15 18:54:54.361,2025-06-15,18:54:54,18,Sunday,UC1,light.snap_kitchen_main,toggle,Kitchen,Ground Floor,snap,local,2025-06-15 18:54:54.361,2025-06-15 18:54:54.398,2025-06-15 18:54:54.588,2025-06-15 18:54:54.766,405,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,dd5c0df6-7779-4959-b2e4-e133a0424521,2025-06-15 08:36:23.849,2025-06-15,08:36:23,8,Sunday,UC3,light.snap_study_main,bind,Study Room,First Floor,snap,local,2025-06-15 08:36:23.849,2025-06-15 08:36:23.920,2025-06-15 08:36:24.075,2025-06-15 08:36:30.221,6372,False,DEVICE_OFFLINE,tile_tap,room_view,deviceStateProvider,switch.docklet_6,dock_kitchen
flutter_app,3c4a1222-3265-4813-8f3f-83684297adc4,2025-06-15 17:10:23.045,2025-06-15,17:10:23,17,Sunday,UC5,fan.snap_dining_fan,turn_on,Dining Room,Ground Floor,snap,remote,2025-06-15 17:10:23.045,2025-06-15 17:10:23.095,2025-06-15 17:10:23.285,2025-06-15 17:10:23.671,626,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,abeda04f-2d9a-4663-abf5-96f8b29d1a37,2025-06-15 15:20:17.199,2025-06-15,15:20:17,15,Sunday,UC1,fan.snap_dining_fan,turn_on,Dining Room,Ground Floor,snap,local,2025-06-15 15:20:17.199,2025-06-15 15:20:17.276,2025-06-15 15:20:17.365,2025-06-15 15:20:17.734,535,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,43b9d1a4-b44d-43d9-9bdc-1004635c732b,2025-06-15 12:48:35.728,2025-06-15,12:48:35,12,Sunday,UC1,light.snap_study_main,toggle,Study Room,First Floor,snap,local,2025-06-15 12:48:35.728,2025-06-15 12:48:35.802,2025-06-15 12:48:35.904,2025-06-15 12:48:36.095,367,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,11c6d0f8-9ca7-433b-92e2-a08559c30bf1,2025-06-15 15:33:58.397,2025-06-15,15:33:58,15,Sunday,UC1,light.snap_study_main,turn_off,Study Room,First Floor,snap,local,2025-06-15 15:33:58.397,2025-06-15 15:33:58.434,2025-06-15 15:33:58.580,2025-06-15 15:33:59.032,635,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,0e08fd7c-6812-4dc2-a6fd-e2bb609dde03,2025-06-15 17:06:46.046,2025-06-15,17:06:46,17,Sunday,UC5,light.snap_kitchen_main,toggle,Kitchen,Ground Floor,snap,remote,2025-06-15 17:06:46.046,2025-06-15 17:06:46.123,2025-06-15 17:06:46.294,2025-06-15 17:06:47.105,1059,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,4b1d002a-a48b-4fdc-afad-b7cec6173f6d,2025-06-15 18:46:11.741,2025-06-15,18:46:11,18,Sunday,UC5,light.snap_kitchen_main,turn_on,Kitchen,Ground Floor,snap,remote,2025-06-15 18:46:11.741,2025-06-15 18:46:11.795,2025-06-15 18:46:11.937,2025-06-15 18:46:12.948,1207,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,ef8257eb-00e0-4af2-9d49-db07ae0772c7,2025-06-15 15:37:17.967,2025-06-15,15:37:17,15,Sunday,UC1,light.snap_kitchen_main,turn_on,Kitchen,Ground Floor,snap,local,2025-06-15 15:37:17.967,2025-06-15 15:37:18.015,2025-06-15 15:37:18.157,2025-06-15 15:37:18.491,524,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,e11abe0d-4591-4e78-a326-b46187478cd9,2025-06-15 10:31:28.229,2025-06-15,10:31:28,10,Sunday,UC5,light.snap_kitchen_counter,turn_off,Kitchen,Ground Floor,snap,remote,2025-06-15 10:31:28.229,2025-06-15 10:31:28.273,2025-06-15 10:31:28.404,2025-06-15 10:31:29.094,865,True,,tile_tap,room_view,deviceStateProvider,,
