log_source,event_id,timestamp,date,time,hour,day_of_week,use_case,entity_id,action,room,floor,device_type,network_type,tap_timestamp,command_sent_timestamp,rest_response_timestamp,ws_confirmation_timestamp,end_to_end_latency_ms,success,failure_reason,trigger_method,app_screen,riverpod_provider,docklet_id,dock_id
flutter_app,515010d2-93b2-47e0-85f3-e430ce58e19c,2025-06-15 20:01:55.491,2025-06-15,20:01:55,20,Sunday,UC1,light.snap_guest_main,turn_off,Guest Room,First Floor,snap,local,2025-06-15 20:01:55.491,2025-06-15 20:01:55.533,2025-06-15 20:01:55.669,2025-06-15 20:01:55.998,507,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,e95b5c94-e279-4282-9834-6ae2421e9f85,2025-06-15 15:51:21.670,2025-06-15,15:51:21,15,Sunday,UC1,light.snap_guest_main,turn_off,Guest Room,First Floor,snap,local,2025-06-15 15:51:21.670,2025-06-15 15:51:21.726,2025-06-15 15:51:21.896,2025-06-15 15:51:22.112,442,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,87997bc4-37f4-4679-9831-2c4afd5f9399,2025-06-15 18:58:42.780,2025-06-15,18:58:42,18,Sunday,UC1,light.snap_garage_main,turn_on,Garage,Ground Floor,snap,local,2025-06-15 18:58:42.780,2025-06-15 18:58:42.814,2025-06-15 18:58:42.889,2025-06-15 18:58:43.144,364,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,963e6d9a-fad6-4443-9bff-7f44917e9540,2025-06-15 17:48:42.370,2025-06-15,17:48:42,17,Sunday,UC1,light.snap_guest_main,turn_on,Guest Room,First Floor,snap,local,2025-06-15 17:48:42.370,2025-06-15 17:48:42.420,2025-06-15 17:48:42.500,2025-06-15 17:48:42.976,606,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,957f4a74-359b-42c4-8372-d9c9cab73246,2025-06-15 06:56:20.514,2025-06-15,06:56:20,6,Sunday,UC5,light.snap_porch_main,toggle,Porch,Ground Floor,snap,remote,2025-06-15 06:56:20.514,2025-06-15 06:56:20.563,2025-06-15 06:56:20.701,2025-06-15 06:56:21.397,883,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,c30cf537-1d31-44a1-b9a6-4905742eedfc,2025-06-15 11:38:37.383,2025-06-15,11:38:37,11,Sunday,UC3,light.snap_garage_main,bind,Garage,Ground Floor,snap,local,2025-06-15 11:38:37.383,2025-06-15 11:38:37.457,2025-06-15 11:38:37.576,2025-06-15 11:38:38.848,1465,True,,tile_tap,room_view,deviceStateProvider,switch.docklet_8,dock_garage
flutter_app,b2d25f13-38fb-4a99-aacb-89dafe105a04,2025-06-15 07:45:11.508,2025-06-15,07:45:11,7,Sunday,UC5,light.snap_guest_main,turn_off,Guest Room,First Floor,snap,remote,2025-06-15 07:45:11.508,2025-06-15 07:45:11.581,2025-06-15 07:45:11.702,2025-06-15 07:45:12.431,923,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,3bb42299-1a50-4325-ac6c-28dab5a00efa,2025-06-15 13:58:09.068,2025-06-15,13:58:09,13,Sunday,UC1,fan.snap_guest_fan,turn_on,Guest Room,First Floor,snap,local,2025-06-15 13:58:09.068,2025-06-15 13:58:09.122,2025-06-15 13:58:09.190,2025-06-15 13:58:09.528,460,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,6c416c25-5d65-4277-9695-0373bef5c3f4,2025-06-15 10:55:15.218,2025-06-15,10:55:15,10,Sunday,UC5,light.snap_hallway,toggle,Hallway,Ground Floor,snap,remote,2025-06-15 10:55:15.218,2025-06-15 10:55:15.258,2025-06-15 10:55:15.384,2025-06-15 10:55:16.077,859,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,86a29789-a66f-43c1-a1ae-7b5f4a86b1ba,2025-06-15 14:14:53.365,2025-06-15,14:14:53,14,Sunday,UC5,light.snap_garage_main,toggle,Garage,Ground Floor,snap,remote,2025-06-15 14:14:53.365,2025-06-15 14:14:53.421,2025-06-15 14:14:53.560,2025-06-15 14:14:54.663,1298,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,094b8e54-d0ec-4d19-b3f4-50b06ca7c6f7,2025-06-15 10:13:05.992,2025-06-15,10:13:05,10,Sunday,UC1,light.snap_porch_main,turn_off,Porch,Ground Floor,snap,local,2025-06-15 10:13:05.992,2025-06-15 10:13:06.034,2025-06-15 10:13:06.162,2025-06-15 10:13:13.097,7105,False,DEVICE_OFFLINE,tile_tap,room_view,deviceStateProvider,,
flutter_app,1056cc4a-b150-485b-b426-60733c3577bd,2025-06-15 23:21:23.827,2025-06-15,23:21:23,23,Sunday,UC1,light.snap_hallway,turn_on,Hallway,Ground Floor,snap,local,2025-06-15 23:21:23.827,2025-06-15 23:21:23.870,2025-06-15 23:21:24.067,2025-06-15 23:21:24.353,526,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,fd18a6d6-1c0e-4851-8d29-5e1b5753116c,2025-06-15 20:36:29.762,2025-06-15,20:36:29,20,Sunday,UC5,light.snap_porch_main,turn_on,Porch,Ground Floor,snap,remote,2025-06-15 20:36:29.762,2025-06-15 20:36:29.796,2025-06-15 20:36:29.987,2025-06-15 20:36:31.115,1353,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,397d2924-5eff-4cbd-a6e7-b1d23506f2bc,2025-06-15 11:54:03.975,2025-06-15,11:54:03,11,Sunday,UC1,light.snap_garage_main,turn_off,Garage,Ground Floor,snap,local,2025-06-15 11:54:03.975,2025-06-15 11:54:04.023,2025-06-15 11:54:04.085,2025-06-15 11:54:04.422,447,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,754a3823-b50f-4d56-afbe-945778fbabf7,2025-06-15 15:42:45.102,2025-06-15,15:42:45,15,Sunday,UC5,light.snap_garage_main,toggle,Garage,Ground Floor,snap,remote,2025-06-15 15:42:45.102,2025-06-15 15:42:45.174,2025-06-15 15:42:45.314,2025-06-15 15:42:46.460,1358,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,865e6c69-00ce-4753-90fe-1e532c661f63,2025-06-15 06:26:39.878,2025-06-15,06:26:39,6,Sunday,UC1,light.snap_hallway,turn_off,Hallway,Ground Floor,snap,local,2025-06-15 06:26:39.878,2025-06-15 06:26:39.947,2025-06-15 06:26:40.033,2025-06-15 06:26:40.256,378,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,323e639d-3272-4190-99e2-040d45ea84f7,2025-06-15 09:51:47.126,2025-06-15,09:51:47,9,Sunday,UC1,light.snap_guest_main,toggle,Guest Room,First Floor,snap,local,2025-06-15 09:51:47.126,2025-06-15 09:51:47.199,2025-06-15 09:51:47.280,2025-06-15 09:51:47.733,607,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,ad4b9f3a-a9a3-4d05-8057-059a77cef25d,2025-06-15 14:51:59.725,2025-06-15,14:51:59,14,Sunday,UC1,light.snap_garage_main,toggle,Garage,Ground Floor,snap,local,2025-06-15 14:51:59.725,2025-06-15 14:51:59.797,2025-06-15 14:51:59.947,2025-06-15 14:52:00.251,526,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,32a7c0ac-5459-4845-bc06-7a402c120c0b,2025-06-15 19:35:40.466,2025-06-15,19:35:40,19,Sunday,UC1,light.snap_garage_main,toggle,Garage,Ground Floor,snap,local,2025-06-15 19:35:40.466,2025-06-15 19:35:40.513,2025-06-15 19:35:40.659,2025-06-15 19:35:40.890,424,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,1122d9f5-2c28-4411-9340-4e99c819540c,2025-06-15 19:16:51.195,2025-06-15,19:16:51,19,Sunday,UC5,light.snap_hallway,turn_off,Hallway,Ground Floor,snap,remote,2025-06-15 19:16:51.195,2025-06-15 19:16:51.243,2025-06-15 19:16:51.388,2025-06-15 19:16:51.943,748,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,974bed3e-3f22-4fc1-a512-f4441cab1921,2025-06-15 20:21:43.524,2025-06-15,20:21:43,20,Sunday,UC5,light.snap_garage_main,toggle,Garage,Ground Floor,snap,remote,2025-06-15 20:21:43.524,2025-06-15 20:21:43.555,2025-06-15 20:21:43.712,2025-06-15 20:21:44.770,1246,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,0c67ec24-055c-4b7b-a65b-d6df9bd114e4,2025-06-15 16:11:50.957,2025-06-15,16:11:50,16,Sunday,UC1,light.snap_porch_main,turn_off,Porch,Ground Floor,snap,local,2025-06-15 16:11:50.957,2025-06-15 16:11:51.003,2025-06-15 16:11:51.178,2025-06-15 16:11:51.490,533,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,964b9f98-8a7a-4d35-b47b-8fae460ee935,2025-06-15 23:21:02.735,2025-06-15,23:21:02,23,Sunday,UC1,light.snap_hallway,turn_on,Hallway,Ground Floor,snap,local,2025-06-15 23:21:02.735,2025-06-15 23:21:02.792,2025-06-15 23:21:02.952,2025-06-15 23:21:03.127,392,True,,tile_tap,room_view,deviceStateProvider,,
flutter_app,f6dfd574-5d0c-44ee-b775-18eef96baf46,2025-06-15 08:06:57.398,2025-06-15,08:06:57,8,Sunday,UC5,fan.snap_guest_fan,toggle,Guest Room,First Floor,snap,remote,2025-06-15 08:06:57.398,2025-06-15 08:06:57.460,2025-06-15 08:06:57.645,2025-06-15 08:06:58.439,1041,True,,tile_tap,room_view,deviceStateProvider,,
