date,day_of_week,is_weekend,total_events,successful_events,failed_events,overall_reliability_pct,app_events,docklet_events,direct_thread_events,remote_events,scene_events,uc1_count,uc2_count,uc3_count,uc4_count,uc5_count,uc1_reliability_pct,uc2_reliability_pct,uc4_reliability_pct,uc5_reliability_pct,avg_latency_ms,p50_latency_ms,p95_latency_ms,max_latency_ms,min_latency_ms,under_1s_count,north_star_pct
2025-06-15,Sunday,True,52,51,1,98.08,18,13,11,10,11,17,13,1,11,10,94.12,100.0,100.0,100.0,484,392,1358,1465,51,44,86.27
2025-06-16,Monday,False,36,35,1,97.22,17,10,5,4,5,15,10,2,5,4,100.0,100.0,100.0,75.0,509,400,1740,2198,60,32,91.43
2025-06-17,Tuesday,False,44,44,0,100.0,10,13,11,10,11,10,13,0,11,10,100.0,100.0,100.0,100.0,477,376,1316,1359,54,38,86.36
2025-06-18,Wednesday,False,50,49,1,98.0,26,10,6,8,6,25,10,1,6,8,96.0,100.0,100.0,100.0,496,426,1260,1634,60,43,87.76
2025-06-19,Thursday,False,47,45,2,95.74,23,11,4,9,4,21,11,2,4,9,100.0,100.0,100.0,77.78,516,429,1319,1571,82,40,88.89
2025-06-20,Friday,False,50,49,1,98.0,25,5,11,9,11,23,5,2,11,9,95.65,100.0,100.0,100.0,543,488,1326,2159,64,43,87.76
2025-06-21,Saturday,True,52,51,1,98.08,23,15,10,4,10,21,15,2,10,4,100.0,100.0,100.0,75.0,466,402,1217,2107,60,48,94.12
2025-06-22,Sunday,True,56,55,1,98.21,21,13,10,12,10,20,13,1,10,12,100.0,100.0,100.0,91.67,498,395,1306,1394,58,47,85.45
2025-06-23,Monday,False,45,42,3,93.33,13,12,8,12,8,12,12,1,8,12,100.0,83.33,100.0,91.67,572,426,1388,2093,73,33,78.57
2025-06-24,Tuesday,False,40,39,1,97.5,12,13,6,9,6,12,13,0,6,9,100.0,100.0,100.0,88.89,494,420,1293,1362,66,33,84.62
2025-06-25,Wednesday,False,35,33,2,94.29,17,8,5,5,5,16,8,1,5,5,93.75,100.0,80.0,100.0,492,429,1197,1206,79,30,90.91
2025-06-26,Thursday,False,34,33,1,97.06,14,8,2,10,2,14,8,0,2,10,100.0,100.0,100.0,90.0,573,535,1162,1355,53,28,84.85
2025-06-27,Friday,False,40,39,1,97.5,15,11,7,7,7,14,11,1,7,7,100.0,100.0,100.0,100.0,446,366,1274,1382,58,36,92.31
2025-06-28,Saturday,True,43,41,2,95.35,20,11,6,6,6,19,11,1,6,6,94.74,90.91,100.0,100.0,518,413,1336,2190,73,36,87.8
2025-06-29,Sunday,True,56,56,0,100.0,26,12,6,12,6,22,12,4,6,12,100.0,100.0,100.0,100.0,612,478,1621,1986,54,47,83.93
2025-06-30,Monday,False,45,45,0,100.0,17,11,8,9,8,16,11,1,8,9,100.0,100.0,100.0,100.0,484,432,1167,1473,55,40,88.89
2025-07-01,Tuesday,False,46,46,0,100.0,13,12,9,12,9,13,12,0,9,12,100.0,100.0,100.0,100.0,479,414,1070,1313,55,43,93.48
2025-07-02,Wednesday,False,43,41,2,95.35,19,8,7,9,7,16,8,3,7,9,87.5,100.0,100.0,100.0,563,426,1221,1492,63,34,82.93
2025-07-03,Thursday,False,47,47,0,100.0,23,8,9,7,9,22,8,1,9,7,100.0,100.0,100.0,100.0,503,445,1158,1895,53,42,89.36
2025-07-04,Friday,False,40,40,0,100.0,14,11,8,7,8,14,11,0,8,7,100.0,100.0,100.0,100.0,458,418,1291,1379,52,36,90.0
2025-07-05,Saturday,True,51,49,2,96.08,23,12,5,11,5,22,12,1,5,11,95.45,100.0,100.0,90.91,544,494,1175,1355,85,42,85.71
2025-07-06,Sunday,True,56,56,0,100.0,20,26,7,3,7,19,26,1,7,3,100.0,100.0,100.0,100.0,425,380,1264,1698,52,52,92.86
2025-07-07,Monday,False,34,34,0,100.0,16,11,6,1,6,16,11,0,6,1,100.0,100.0,100.0,100.0,387,376,614,1397,51,33,97.06
2025-07-08,Tuesday,False,40,39,1,97.5,15,11,5,9,5,13,11,2,5,9,92.31,100.0,100.0,100.0,588,419,1649,1704,57,30,76.92
2025-07-09,Wednesday,False,40,40,0,100.0,19,11,6,4,6,19,11,0,6,4,100.0,100.0,100.0,100.0,423,427,1021,1329,56,38,95.0
2025-07-10,Thursday,False,38,37,1,97.37,13,10,8,7,8,13,10,0,8,7,100.0,100.0,100.0,85.71,482,443,1086,1374,51,33,89.19
2025-07-11,Friday,False,38,37,1,97.37,19,6,7,6,7,16,6,3,7,6,100.0,100.0,100.0,100.0,541,444,1345,1765,62,31,83.78
2025-07-12,Saturday,True,56,54,2,96.43,29,11,8,8,8,26,11,3,8,8,100.0,100.0,100.0,100.0,492,421,1363,1399,71,48,88.89
2025-07-13,Sunday,True,49,49,0,100.0,19,12,11,7,11,16,12,3,11,7,100.0,100.0,100.0,100.0,509,445,1281,1595,57,43,87.76
2025-07-14,Monday,False,41,41,0,100.0,16,4,9,12,9,15,4,1,9,12,100.0,100.0,100.0,100.0,551,508,1293,2072,50,36,87.8
2025-07-15,Tuesday,False,35,34,1,97.14,17,8,4,6,4,16,8,1,4,6,100.0,100.0,100.0,83.33,522,451,1393,1747,80,29,85.29
